,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
ABCB1,0.5019648033380508,0.21851667645573616,0.14566944822669028,0.0
ABCB10,22.210369309067726,49.9338293479681,24.69175716200471,25.89025964125991
ABCB11,0.5921616065502167,0.4195019492506981,0.42638680696487424,0.3585355660021305
ABCB4,0.3686303985118866,0.0,0.24126496896147728,0.04752744197845459
ABCB5,0.05882399976253509,0.18637570706009865,0.34141270637512205,0.1901102203130722
ABCB6,6.567896542787552,9.612219533383847,37.2416411421895,50.164301052093506
ABCB7,2.08158531332016,3.9908996350169184,1.3298418745398521,1.4183977487683297
ABCB8,6.430641091108322,10.53971523284912,11.854471061378717,11.011210932970046
ABCB9,17.04053041434288,20.243135455608368,12.640479365557432,10.79659593206644
ABCC1,0.36470880508422854,0.6490793770551682,0.0,0.08465829715132714
ABCC10,6.633777984857559,9.403514005064965,5.388257972002029,4.899781198203564
ABCC11,2.2180569767951965,2.4965564501285553,0.21000657916069032,0.09832251361012459
ABCC12,1.2321667335033417,0.6607676064372062,10.053630953609943,14.281690125614405
ABCC2,1.8902112191915512,0.7429984855651856,0.04855656147003174,0.08614370495080947
ABCC3,2.529040226340294,1.7063909808695317,0.5781256467103958,0.3049186155349016
ABCC4,2.7804144448041916,3.294443278312683,56.27626235961914,57.96562698207796
ABCC5,3.7847370656132697,5.496302654772997,4.326690346717834,3.7620921090245245
ABCC6,0.0,0.0,0.0,0.0
ABCC8,1.94589784181118,0.26130150192976,0.3049954584240913,0.19010996729135513
ABCC9,0.1254911994934082,0.19827208369970323,24.132441937714816,30.352197392374276
ABCD1,6.86593835735321,11.091536921620369,10.5659010643363,10.791101764768362
ABCD2,0.4196111983060837,3.52276821282506,24.362783209353687,31.56013529539108
ABCD3,6.1573044140934945,7.000040497481823,19.12990494698286,19.30534542620182
ABCD4,9.792236548066139,6.683849240988493,7.373003990650177,7.026631482243538
ABCE1,26.48569594681263,39.434399829745296,24.7489638184309,27.833245524019002
ABCF1,0.0,0.0,0.0,0.0
ABCF2,7.229470019936562,11.611425445526839,11.226422014907003,9.556725506410002
ABCF2-H2BK1,7.262019302129746,11.651288488030433,11.220504206269979,9.562517913401127
ABCF3,7.94516386449337,21.787990012168883,19.1115492990613,23.17407364651561
ABCG1,3.170221692919731,2.401176736831665,0.7201539770066738,0.590380232065916
ABCG2,0.7137311971187592,0.555161759853363,0.19422581523656846,0.06445921316742897
ABCG4,4.596898589730262,3.246649921178818,0.7089250204265117,0.7530136504769325
ABCG5,0.5098080068826676,2.0682890447974205,0.7875257536768914,0.39804262965917586
ABCG8,0.2862767988443375,1.3950000997185708,0.6961787965595723,0.4203212942183018
ABHD1,0.9333408242464065,1.9591353663504123,1.3595825254917144,0.6134018218517303
ABHD10,3.3843409579992296,5.203070702552796,10.471518220603466,7.4172487734258175
ABHD11,7.108294441580773,9.111739229023456,15.038563643336296,16.188728512048723
ABHD12,5.641222547590733,8.171933049559593,14.899268286079169,16.069465031847358
ABHD12B,2.4690392916202546,4.337144411712885,0.8350200274139643,0.46428447555005553
ABHD13,9.14752604997158,18.023118423998355,34.71275897496939,38.74939717316627
ABHD14A,4.939647503256798,4.083148766756057,2.023593132585287,1.6376174295544623
ABHD14A-ACY1,8.276144561886788,9.315438476026058,10.51522024065256,10.107002803981304
ABHD14B,10.687536576628686,9.88666730338335,19.546734376490114,19.811360295176506
ABHD15,7.0545655497312545,8.09742137387395,29.35985662049055,27.75318918457627
ABHD16A,0.0,0.0,0.0,0.0
ABHD16B,2.8713955488204954,3.321784407675266,2.3841252431571482,2.1114060178399088
ABHD17A,4.331015386939049,8.506488764822484,9.029389537364244,8.973178017765283
ABHD17B,18.2770070464015,38.2641737357378,24.277813417866827,24.78851802662015
